Municipality,Id,Gym,Gym Latitude,Gym Longitude,Rating,Suitable
Bologna,4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,8.0,Yes
Bologna,4c5abcc667ac0f47955b074c,Fashion & Fitness,44.514836951916635,11.398441178843331,7.7,Yes
Bologna,4c0802a3009a0f47906ce5bf,Palestra Body Planet,44.47113999016919,11.376778011775007,7.7,Yes
Bologna,4ca108138afca093ead81716,Villaggio Del Fanciullo,44.494955078841144,11.369461954797984,7.5,Yes
Bologna,4bdea142921d95214ffa6832,Virgin Active Bologna Città,44.51177173965281,11.352280692883898,7.2,Yes
Bologna,531ae37e498e3035a4031910,Time4fit,44.50847363330012,11.333347962796616,7.1,Yes
Bologna,4c7d35a3d65437049ea5bfa2,Palestra Fit in the City,44.471965117843055,11.369888289483162,6.7,No
Bologna,4cbb2a2ec7228cfaf4e31bce,TPO,44.50472814588768,11.327717466189357,7.1,Yes
Bologna,4d348cbf98336dcbd6b738f0,Palestra Sempre Avanti DLF,44.506222010138565,11.354154860738545,6.6,No
Bologna,4bc5d3964a9aa593f9f6067b,Terme Felsinee,44.492460454262535,11.295614038019952,6.9,No
Bologna,4cea2dbb6afd6a31744bd74d,Terme San Luca - Pluricenter,44.50924078135952,11.29726079360137,6.7,No
Bologna,4bc4985e920eb71324f11e2c,Health City,44.49796992123705,11.330966195255048,6.2,No
Bologna,4c4ffe2f2ba0ef3bf86746e8,Palestra del Borgo,44.50188098936126,11.350479787962705,6.4,No
Bologna,4d8a1d48bc848cfa1612d22b,Bodyline Fitnessclub,44.482189,11.388205,6.1,No
Bologna,515df4f4e4b0510b05537a4a,LaCadeMia - Capoeira Angola Palmares Bologna,44.49521199257209,11.316583156585693,8.3,Yes
Bologna,4ca2e5ded7c33704515f9c62,Terme San Petronio - Antalgik - Bodi,44.50061729671241,11.348374819506937,6.0,No
Bologna,504dc4c1e4b0548542ca2e95,Hot Yoga Bologna - Bikram in the city,44.478781362212445,11.377045213481257,7.3,Yes
Bologna,4cb608fae262b60ca0006ce0,Palestra Performance,44.496422338246774,11.339776630331983,5.6,No
Bologna,5141eda0e4b0101deeb49ae8,Prime Tower,44.49556103514382,11.39119614765916,7.1,Yes
Bologna,4cf7e07f0a71224b2ed42593,Gymcus,44.49754067942391,11.329692323482934,5.2,No
Bologna,4d236491dd6a236a929a4f38,Palestra Orizzonte Benessere,44.49585643428917,11.361320665359703,5.1,No
Bologna,4c0a65bdffb8c9b6486d6b61,Piscina Carmen Longo (Stadio),44.492342765531305,11.30864876997981,6.4,No
Bologna,526411d311d2eea38bd39520,Up Urban Climbing,44.503851561847675,11.404205560684204,7.5,Yes
Bari,4c988acd6ffe8cfa98b5fd2f,Centro Universitario Sportivo (CUS),41.136720171485514,16.845618002622423,7.7,Yes
Bari,4c3890982c8020a168fb8a00,Villa Camilla,41.09799125802811,16.85473918163556,7.4,Yes
Bari,54062d9e498ed1980149651f,Palestra McFIT,41.10566085271938,16.882551364418077,7.0,No
Bari,4eeba1279adf47d9ccbe59a4,New Wave,41.10433780495585,16.880009230023706,6.6,No
Bari,4cc0378c00d837045ee7485c,Wake Up,41.12209392123416,16.867789935732873,6.1,No
Catania,525e610011d2a8f72bf59983,Virgin Active,37.53397335536488,15.115277001383813,8.1,Yes
Catania,4d5a30f2f8ff236a2f67d34a,CUS Catania,37.52659977312757,15.071310568813239,6.3,No
Catania,4dbd50f0fa8cee72736363c8,Muri Antichi,37.53717766383019,15.095921958069198,6.1,No
Catania,4ec5149a30f81945152a362b,CUS Catania - Sala Attrezzi,37.52688570946331,15.071221426568629,5.8,No
Catania,4cae5c6591529c74e30542b8,"Nadir Centro Benessere, Piscina, Palestra",37.51883596712193,15.085592422538362,5.3,No
Verona,4d7f95b02ff9b60c25c3c047,Virgin Active,45.413794397315904,10.97093422301735,8.3,Yes
Verona,52e1820c498e3733012ab16b,McFIT,45.4121531,10.9798201,7.2,Yes
Verona,50851ae67ab4bbaa74edc732,Tao Long - Arti Marziali e Difesa Personale (Betteloni),45.43271696650604,10.986381769180298,7.9,Yes
Trieste,4cbfbe8a9ca85481ef8fb816,Web Fit Trieste 1,45.6335994962567,13.779118567518212,6.9,No
Trieste,4d6f98df8781b60cdd9c3f35,Oasi Club,45.645498234537925,13.787391028919497,6.6,No
Trieste,52260c1a11d20e9e94b2f63b,WebFit Excelsior,45.65120786268226,13.777982366829201,6.2,No
Trieste,4d15ca22aeefa09030f7d701,SGT Società Ginnastica Triestina,45.651148018403305,13.784663194936886,5.6,No
Trieste,4e5bcef2c65bcd7cbe530811,Palestra Aquarium Club,45.65555841484384,13.781479796767272,5.6,No
Trieste,4d87783de83fa1430bd2a4a1,Acquamarina,45.647378291306396,13.755429040589812,6.8,No
Trieste,4d18546a81cea35dcee2ecec,Polo Natatorio ''Bruno Bianchi'',45.63966823108898,13.76089554498798,6.7,No
Taranto,4d516193abb459413672c218,VIVISPORT,40.43671354453207,17.258729367253302,6.0,No
Brescia,4bdb0e2a3904a5930083489e,Millennium Sport & Fitness,45.52178881976985,10.203096629821806,8.2,Yes
Brescia,4edfe4b49adf58ec9d669678,Europa Sporting Club,45.55185825457701,10.181626680037885,7.7,Yes
Brescia,4d64cfb96d94370469f66ebf,Centro Sportivo San Filippo,45.551865277438665,10.181678212497019,6.9,No
Brescia,517244bee4b02cd2b8a83b48,Keepfit,45.513914526221846,10.249009823872596,6.5,No
Brescia,4bdea2c6921d952172fa6832,Virgin Active,45.53516436653729,10.209287602432976,6.4,No
Brescia,4f4640dde4b0190ed34db015,Time4fit,45.53041189590239,10.189109602007097,6.4,No
Brescia,4e0ab35118a889c5fe8da2b1,Hello fit,45.56631209604816,10.230656786972691,6.0,No
Brescia,4cd0434a48b837049a64f1de,Piscina Lamarmora,45.52429919359471,10.207886882427626,7.4,Yes
Parma,521253e98bbdfa4d29ecb6c3,Planet Fitness,41.379858819928316,-81.74360692664656,8.5,Yes
Parma,5c8bb124b040560039901a71,Planet Fitness,41.406376,-81.695595,7.4,Yes
Parma,4f5cb838e4b075ad7ab31fbe,WW (Weight Watchers),41.40353927965823,-81.69602750100097,7.2,Yes
Parma,4bce42e3cc8cd13a451ec4cf,Workout Factory,41.411145271533755,-81.73462213419172,7.1,Yes
Parma,4be570642457a593c871ab15,Fitness 19 Parma,41.4063553,-81.6952154,6.0,No
Parma,4bb129e5f964a520c37f3ce3,Fitworks,41.37918282741853,-81.74586689233075,6.1,No
Prato,4bdeaa3f921d952120fb6832,Virgin Active,43.87343474983876,11.0627052239523,7.1,Yes
Modena,50b90bbee4b036209da1f308,Female Art Studio,44.65271375647033,10.934545116222964,7.5,Yes
Modena,503a0d54e412f728807e2695,CrossFit Team 059,44.664836357159345,10.927200424969142,7.6,Yes
Modena,4ca72e4ab0b8236a4956a6e6,All Jolli Sport,44.63385296370878,10.909088419630592,6.8,No
Modena,523b257d7e489413ab67cbba,Muoviti A.S.D.,44.64889060631537,10.858188440012091,7.0,No
Modena,4c1126d03ce120a1093c091c,C.U.S. Modena,44.63335972662454,10.94590220436905,6.6,No
Modena,4d343c515c2db60c21ebd16c,Tonic Modena,44.64273197484184,10.906387703123134,6.6,No
Modena,4df5c748ae609e69dda125ea,New Aktivarium,44.633932796728004,10.927802324295042,6.5,No
Modena,4c56bf4bd12a20a1e20d65bd,Piscina Pergolesi,44.64516253379551,10.949390746147593,7.3,Yes
Modena,4cb5f8b164998cfa5deb11a2,Polivalente 87 & Gino Pini,44.61795106942083,10.9238862991333,5.4,No
Modena,4ce805f40f196dcbad7942ae,Polisportiva A.Corassori,44.64510713670532,10.895301117930812,7.3,Yes
Modena,4e43ce70887703085fd7e9de,Piscina CDR Città dei ragazzi,44.637900974571906,10.91684917385532,5.7,No
Modena,4da4802463b5a35d51d0271a,Pista di Atletica La Fratellanza,44.6531104842301,10.904620187298832,6.3,No
