Candidate name,Art Museum,Arts & Entertainment,Bakery,Bar,Beach,Bike Rental / Bike Share,Bookstore,Boutique,Breakfast Spot,Brewery,Building,Café,Chinese Restaurant,Clothing Store,Cocktail Bar,Coffee Shop,Cosmetics Shop,Cupcake Shop,Dessert Shop,Diner,Dive Bar,Electronics Store,Fast Food Restaurant,Food,Furniture / Home Store,Gastropub,Gluten-free Restaurant,Gym,Gym / Fitness Center,Hostel,Hotel,Ice Cream Shop,Italian Restaurant,Japanese Restaurant,Jewelry Store,Martial Arts Dojo,Mediterranean Restaurant,Mobile Phone Shop,Modern European Restaurant,Motorcycle Shop,Movie Theater,Noodle House,Outdoors & Recreation,Pier,Pizza Place,Plaza,Pool,Pub,Puglia Restaurant,Restaurant,Sandwich Place,Seafood Restaurant,Shopping Mall,Snack Place,Steakhouse,Sushi Restaurant,Theater,Toy / Game Store,Train Station,Vegetarian / Vegan Restaurant
Candidate 1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Candidate 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Candidate 11,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Candidate 12,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Candidate 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidate 14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidate 2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,4,1,2,0,1,0,0,0,1,0,0,0,0,0,3,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0
Candidate 3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidate 4,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Candidate 5,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2
Candidate 6,0,1,0,1,0,0,2,1,0,0,0,5,0,1,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,4,7,1,0,0,2,0,1,0,0,0,0,0,5,3,0,3,1,2,1,4,0,1,0,0,2,1,0,1
Candidate 7,0,0,0,2,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Candidate 8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidate 9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0
